epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,epoch_time_sec,angry_precision,angry_recall,angry_f1-score,disgust_precision,disgust_recall,disgust_f1-score,fear_precision,fear_recall,fear_f1-score,happy_precision,happy_recall,happy_f1-score,neutral_precision,neutral_recall,neutral_f1-score,sad_precision,sad_recall,sad_f1-score,surprise_precision,surprise_recall,surprise_f1-score
1,1.7925928136851395,2.7101347124918687,0.2833755023068909,0.1277514628030092,0.10111674947346891,169.5564169883728,0.3333333333333333,0.0010438413361169101,0.002081165452653486,0.012806110986295215,0.5135135135135135,0.02498903989478299,0.4,0.001953125,0.003887269193391642,0.3794749403341289,0.2688838782412627,0.31474760805014845,0.3,0.0024330900243309003,0.004827031375703942,0.2496194824961948,0.26303127506014434,0.2561499414291292,0.35507246376811596,0.05896510228640193,0.10113519091847266
2,1.601733972125331,2.6491058400229313,0.38339038547402887,0.21147952075787127,0.1954369952628016,169.68189001083374,0.3684210526315789,0.007306889352818371,0.014329580348004094,0.0157053885729759,0.5225225225225225,0.030494216614090432,0.46153846153846156,0.005859375,0.011571841851494697,0.5030581039755352,0.370913190529876,0.426995457495133,0.3108320251177394,0.16058394160583941,0.21176470588235294,0.29448818897637796,0.14995990376904572,0.19872476089266738,0.4627720504009164,0.4861612515042118,0.47417840375586856
3,1.4772672997892107,3.2311487760541167,0.4359279654710522,0.1695458344942881,0.17412284165506237,171.23864722251892,0.2,0.003131524008350731,0.006166495375128468,0.017420157610949814,0.7567567567567568,0.03405635515913237,0.17647058823529413,0.01171875,0.02197802197802198,0.7733598409542743,0.21927846674182638,0.3416776460254721,0.42727272727272725,0.038118410381184104,0.06999255398361877,0.314404432132964,0.18203688853247796,0.23057389537836465,0.48507462686567165,0.5475330926594465,0.5144149236856982
4,1.4077406859536277,2.072668696635611,0.46188420895966664,0.3131791585399833,0.2614722777660434,169.95510387420654,0.34234234234234234,0.03966597077244259,0.07109448082319925,0.02412280701754386,0.4954954954954955,0.04600585529067336,0.15217391304347827,0.0068359375,0.013084112149532711,0.7617647058823529,0.43799323562570464,0.5561918396564066,0.35358565737051795,0.28791565287915655,0.3173893607510058,0.3686534216335541,0.2678428227746592,0.31026474686483974,0.3765875207067918,0.8206979542719615,0.5162755488266465
5,1.3506379070124432,2.9570268268670237,0.48798928411966064,0.22443577598216774,0.22551044606411855,170.0074987411499,0.4444444444444444,0.025052192066805846,0.04743083003952569,0.018734292894676718,0.7387387387387387,0.036541889483065956,0.15625,0.0048828125,0.00946969696969697,0.6256109481915934,0.36076662908680945,0.4576331784054344,0.4820359281437126,0.1305758313057583,0.20548819400127633,0.3941176470588235,0.161186848436247,0.22879908935685828,0.5872641509433962,0.5992779783393501,0.593210244192972
6,1.3115857914633509,1.91800452006099,0.5020092275636255,0.3825578155475063,0.3182259228739874,169.1045560836792,0.363013698630137,0.11064718162839249,0.1696,0.019597457627118644,0.3333333333333333,0.03701850925462731,0.2658959537572254,0.044921875,0.07685881370091896,0.6352757544224766,0.6882750845546787,0.6607142857142857,0.5377697841726619,0.24249797242497972,0.33426495248742316,0.3794392523364486,0.32558139534883723,0.3504531722054381,0.4941268598277212,0.7593261131167268,0.5986717267552182
7,1.2829321484850318,1.6089047171854316,0.5137073969340675,0.42017275006965726,0.3190122453329519,171.05609917640686,0.39263803680981596,0.06680584551148225,0.11418376449598573,0.03773584905660377,0.4144144144144144,0.06917293233082707,0.2391304347826087,0.021484375,0.03942652329749104,0.6346420323325636,0.7745208568207441,0.6976389946686976,0.4171475680131904,0.41038118410381186,0.41373671300081766,0.3903301886792453,0.2654370489174018,0.31599045346062055,0.4553450608930988,0.8098676293622142,0.5829363360762235
8,1.2563411689830122,1.6942904042679474,0.527905938383688,0.42073000835887436,0.34294347877388187,170.7933051586151,0.48328267477203646,0.16597077244258873,0.24708624708624707,0.03234880450070324,0.4144144144144144,0.060013046314416174,0.2893258426966292,0.1005859375,0.1492753623188406,0.6157186278766826,0.7993235625704622,0.6956095168015698,0.5701559020044543,0.20762368207623683,0.30439952437574314,0.3943217665615142,0.30072173215717724,0.34121929026387626,0.48464912280701755,0.7978339350180506,0.6030013642564802
9,1.2355696415720214,2.228547681254841,0.5318648608423873,0.32947896349958206,0.30492346193603553,180.4723081588745,0.5360824742268041,0.054279749478079335,0.0985781990521327,0.0249609984399376,0.7207207207207207,0.04825090470446321,0.29523809523809524,0.0302734375,0.05491585473870682,0.7755937755937756,0.5338218714768884,0.6323873121869783,0.4891994917407878,0.3122465531224655,0.3811881188118812,0.3692722371967655,0.21972734562951082,0.27551533433886377,0.5837414299706171,0.717208182912154,0.6436285097192225
10,1.2164468596850606,1.8480772010776518,0.5379074267004018,0.3853441069935915,0.3411328533458505,175.22761607170105,0.4882943143812709,0.1524008350730689,0.23229912490055687,0.03263497179693795,0.7297297297297297,0.062475896644812956,0.3493975903614458,0.0283203125,0.052393857271906055,0.7110694183864915,0.640924464487035,0.6741772902460718,0.47593582887700536,0.43309002433090027,0.4535031847133758,0.42538593481989706,0.19887730553327987,0.2710382513661202,0.5851485148514851,0.7111913357400722,0.6420423682781097
11,1.204302935881316,2.2715408178874132,0.5447239172495907,0.35051546391752575,0.281642324569968,172.69319105148315,0.6,0.05323590814196242,0.0977948226270374,0.029532403609515995,0.6486486486486487,0.05649274225186347,0.35526315789473684,0.0263671875,0.04909090909090909,0.7094763092269327,0.6414881623449831,0.6737714624037893,0.4824961948249619,0.2570965125709651,0.33544973544973544,0.42070484581497797,0.15316760224538895,0.22457378012933568,0.38626609442060084,0.8664259927797834,0.5343228200371057
12,1.1866878890764112,2.47200193432803,0.5516892394701592,0.33435497353023125,0.27218986833567427,173.45886421203613,0.5297029702970297,0.11169102296450939,0.18448275862068966,0.034980323567993,0.7207207207207207,0.06672226855713094,0.3119266055045872,0.033203125,0.06001765225066196,0.7557971014492754,0.5879368658399098,0.6613823715916297,0.4784853700516351,0.22546634225466342,0.3065049614112459,0.44483985765124556,0.10024057738572574,0.16361256544502617,0.3135158254918734,0.8820697954271961,0.46260650047333546
13,1.1705461769058585,3.1144483537851984,0.5582675993451407,0.2557815547506269,0.19308436326894432,171.89011788368225,0.5238095238095238,0.03444676409185804,0.06464250734573947,0.028534786790638023,0.8018018018018018,0.055108359133126936,0.3,0.0087890625,0.017077798861480076,0.814629258517034,0.45828635851183763,0.5865800865800865,0.4481132075471698,0.0770478507704785,0.1314878892733564,0.4095238095238095,0.034482758620689655,0.06360946745562131,0.2844209732176537,0.9073405535499398,0.4330844342331993
14,1.1583521331806128,2.060852065732234,0.5605596070843876,0.3704374477570354,0.31852372971017134,172.71837520599365,0.4914772727272727,0.18058455114822547,0.2641221374045801,0.03676166873192895,0.8018018018018018,0.0703001579778831,0.352112676056338,0.0244140625,0.045662100456621,0.8353317346123101,0.589064261555806,0.6909090909090909,0.5400943396226415,0.37145174371451745,0.44017299375300334,0.410958904109589,0.12028869286287089,0.18610421836228289,0.3844919786096257,0.865222623345367,0.5323954091077379
15,1.1491966466957622,3.4585903883146423,0.5659770799226075,0.2128726664809139,0.19910382133183566,172.55979418754578,0.4968944099378882,0.08350730688935282,0.14298480786416443,0.02365930599369085,0.9459459459459459,0.046163992086172785,0.4117647058823529,0.0068359375,0.013448607108549471,0.8547794117647058,0.262119503945885,0.4012079378774806,0.5433962264150943,0.11678832116788321,0.19225634178905207,0.4307692307692308,0.022453889334402566,0.042682926829268296,0.4140995260663507,0.8411552346570397,0.554982135768162
