epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,epoch_time_sec,angry_precision,angry_recall,angry_f1-score,disgust_precision,disgust_recall,disgust_f1-score,fear_precision,fear_recall,fear_f1-score,happy_precision,happy_recall,happy_f1-score,neutral_precision,neutral_recall,neutral_f1-score,sad_precision,sad_recall,sad_f1-score,surprise_precision,surprise_recall,surprise_f1-score
1,1.9297695411530824,1.8700714169786845,0.21172793570471796,0.24714405126776262,0.05661943061406869,129.99377918243408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24714405126776262,1.0,0.3963360142984808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8926726926205182,1.9649483266731065,0.21479386813513915,0.25633881303984396,0.07833928951261962,128.15055012702942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511357183418512,0.9971815107102593,0.4012247675209798,0.0,0.0,0.0,0.0,0.0,0.0,0.5298507462686567,0.08543922984356198,0.14715025906735751
3,1.8565117765030064,1.798469259865804,0.23979758892692365,0.21733073279465032,0.07473281431396961,121.62117791175842,0.0,0.0,0.0,0.013800424628450107,0.35135135135135137,0.026557711950970377,0.0,0.0,0.0,0.34949448529411764,0.8573844419391207,0.49657198824681686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.8300816490884728,1.7617438849913905,0.25569281143027234,0.24101421008637502,0.08208894740924902,146.81359910964966,0.0,0.0,0.0,0.012995049504950494,0.1891891891891892,0.024319629415170817,0.0,0.0,0.0,0.3138226882745472,0.9278466741826381,0.4690126798689272,0.19873817034700317,0.051094890510948905,0.08129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
5,1.787372069725023,1.7240194776125293,0.28816788212531624,0.25675675675675674,0.13079524839808662,139.30370998382568,0.0,0.0,0.0,0.016436309301456856,0.3963963963963964,0.03156384505021521,0.0,0.0,0.0,0.4722589167767503,0.8060879368658399,0.5955851728446481,0.25551601423487547,0.2911597729115977,0.2721758908263836,0.1836734693877551,0.007217321571772253,0.013888888888888888,0.05263157894736842,0.0012033694344163659,0.002352941176470588
6,1.744941306500975,1.6535744287071537,0.3082006250930198,0.31164669824463637,0.17344355497802114,132.35893893241882,0.0,0.0,0.0,0.01810699588477366,0.1981981981981982,0.033182503770739065,0.0,0.0,0.0,0.5369664634146342,0.794250281848929,0.6407457935425194,0.27079107505070993,0.21654501216545013,0.24064894096439837,0.22916666666666666,0.4322373696872494,0.29952764656849123,0.0,0.0,0.0
7,1.709880150441418,1.7337954471157135,0.321178746837327,0.2535525215937587,0.16177802611628778,134.47111797332764,0.0,0.0,0.0,0.014084507042253521,0.3963963963963964,0.027202472952086554,0.0,0.0,0.0,0.6079923882017126,0.7204058624577226,0.6594427244582043,0.27044952100221076,0.29764801297648014,0.2833976833976834,0.2404040404040404,0.0954290296712109,0.13662456946039037,0.12,0.01444043321299639,0.02577873254564984
8,1.6815450499217095,1.5813613162129727,0.3322220568536985,0.3502368347729172,0.21105962031662845,139.78780913352966,0.0,0.0,0.0,0.018032786885245903,0.0990990990990991,0.030513176144244106,0.0,0.0,0.0,0.5327464788732394,0.8528748590755355,0.6558300823580407,0.24917218543046357,0.2441200324412003,0.2466202376075379,0.24934612031386225,0.458700882117081,0.32307257836769276,0.5176991150442478,0.1407942238267148,0.22138126773888364
9,1.6586775759462622,1.6131038795310695,0.3526119958327132,0.34215658957927,0.22567860027079328,138.1482162475586,0.0,0.0,0.0,0.02480916030534351,0.23423423423423423,0.04486626402070751,0.20833333333333334,0.009765625,0.018656716417910446,0.4578931482040447,0.855129650507328,0.5964222528012582,0.2973708068902992,0.2660178426601784,0.2808219178082192,0.2759407069555302,0.19406575781876503,0.2278719397363465,0.4220532319391635,0.4007220216606498,0.4111111111111111
10,1.6244902708289488,1.5657481183976507,0.3710968894180682,0.371830593480078,0.24702912323467285,138.3060119152069,0.0,0.0,0.0,0.03538812785388128,0.27927927927927926,0.06281661600810537,0.19540229885057472,0.0166015625,0.0306030603060306,0.5112627986348123,0.8444193912063134,0.6369047619047619,0.29338103756708406,0.1330089213300892,0.18303571428571427,0.30758327427356486,0.3480352846832398,0.326561324303988,0.39923954372623577,0.631768953068592,0.48928238583411
