epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,epoch_time_sec,angry_precision,angry_recall,angry_f1-score,disgust_precision,disgust_recall,disgust_f1-score,fear_precision,fear_recall,fear_f1-score,happy_precision,happy_recall,happy_f1-score,neutral_precision,neutral_recall,neutral_f1-score,sad_precision,sad_recall,sad_f1-score,surprise_precision,surprise_recall,surprise_f1-score
1,1.917555041802144,1.8791176660308668,0.20705462122339635,0.24937308442463083,0.10067649592022983,135.44155383110046,0.4,0.0020876826722338203,0.004153686396677051,0.009433962264150943,0.02702702702702703,0.013986013986013986,0.0,0.0,0.0,0.26187175043327554,0.8517474633596392,0.4005832449628844,0.0,0.0,0.0,0.0,0.0,0.0,0.25253456221198156,0.3297232250300842,0.2860125260960334
2,1.9009535860706608,1.831235412436629,0.21783003423128441,0.26427974366118695,0.10820103163041886,139.62451910972595,0.0,0.0,0.0,0.006329113924050633,0.009009009009009009,0.007434944237918215,0.0,0.0,0.0,0.2632489385123447,0.943630214205186,0.4116562154186647,0.6,0.0072992700729927005,0.014423076923076924,0.2663316582914573,0.042502004811547714,0.07330567081604426,0.35874439461883406,0.19253910950661854,0.2505873140172279
3,1.8699367409892196,1.8736735467095003,0.25051346926625984,0.21760936193925884,0.11613706096108282,137.86322808265686,0.0,0.0,0.0,0.012526997840172787,0.26126126126126126,0.023907666941467436,0.0,0.0,0.0,0.3103856162763189,0.7395715896279594,0.4372604565905682,0.3082706766917293,0.0665044606650446,0.1094062708472315,0.26506024096385544,0.01764234161988773,0.03308270676691729,0.4076655052264808,0.1407942238267148,0.20930232558139536
4,1.8008807440921122,1.7690152011896847,0.29111474921863373,0.28615213151295626,0.15544273581796395,134.98035979270935,0.0,0.0,0.0,0.012690355329949238,0.09009009009009009,0.02224694104560623,0.0,0.0,0.0,0.30635245901639346,0.842728297632469,0.4493537721671175,0.2946708463949843,0.07623682076236821,0.1211340206185567,0.3333333333333333,0.03207698476343224,0.058522311631309436,0.3882132834424696,0.4993983152827918,0.4368421052631579
5,1.7550570099707568,2.024044095656107,0.31397529394255097,0.22485371969908052,0.16949645555481993,133.74384474754333,0.0,0.0,0.0,0.018855218855218854,0.5045045045045045,0.03635183382018825,0.38095238095238093,0.0078125,0.015311004784688996,0.41758769822200864,0.4898534385569335,0.4508430609597925,0.3125,0.15815085158150852,0.210016155088853,0.3051948051948052,0.03769045709703288,0.06709493219129194,0.3308214016578749,0.5282791817087846,0.4068582020389249
6,1.7137007927216843,1.676889234846035,0.3318053281738354,0.339509612705489,0.201141358131357,145.21603393554688,0.0,0.0,0.0,0.0,0.0,0.0,0.24285714285714285,0.0166015625,0.031078610603290677,0.34650317892824706,0.8602029312288614,0.4940110067983166,0.27295440349781386,0.3544201135442011,0.3083980239943543,0.3276595744680851,0.061748195669607056,0.1039136302294197,0.4846938775510204,0.457280385078219,0.47058823529411764
7,1.6753502723804843,1.7803639445540034,0.3509748474475368,0.3190303705767623,0.2088716279403629,146.50226092338562,0.2926829268292683,0.012526096033402923,0.024024024024024024,0.018469656992084433,0.1891891891891892,0.03365384615384615,0.0,0.0,0.0,0.4779286926994907,0.6347237880496054,0.5452784503631961,0.35152487961476725,0.35523114355231145,0.3533682936668011,0.3489583333333333,0.053728949478749,0.09312022237665045,0.2841579664094417,0.753309265944645,0.4126565589980224
8,1.6450561135594806,1.6633368843310588,0.3634171751748772,0.3389523544162719,0.20417021656369874,156.82526993751526,0.3333333333333333,0.003131524008350731,0.0062047569803516025,0.012552301255230125,0.02702702702702703,0.017142857142857144,0.12658227848101267,0.009765625,0.01813236627379873,0.485190958690569,0.701803833145434,0.5737327188940092,0.36129647283126787,0.3073803730738037,0.33216476774758985,0.3445378151260504,0.06575781876503609,0.11043771043771043,0.2371581054036024,0.855595667870036,0.3713763384695743
9,1.612233157742678,1.677313143710766,0.37722875427891056,0.35483421565895795,0.22059610837912788,160.969801902771,0.26582278481012656,0.021920668058455117,0.040501446480231434,0.0,0.0,0.0,0.22905027932960895,0.0400390625,0.06816292601828762,0.34255765199161425,0.9210822998872604,0.4993887530562347,0.3370955605718585,0.3633414436334144,0.34972677595628415,0.33992094861660077,0.06896551724137931,0.11466666666666667,0.6179337231968811,0.381468110709988,0.47172619047619047
10,1.589355191728121,1.624366377183208,0.38699211192141686,0.3786570075229869,0.24820231263362388,153.39086198806763,0.2403846153846154,0.026096033402922755,0.047080979284369114,0.005050505050505051,0.009009009009009009,0.006472491909385114,0.2781456953642384,0.041015625,0.07148936170212766,0.390379746835443,0.8692220969560316,0.5387840670859538,0.33518176216882317,0.44120032441200324,0.38095238095238093,0.3673469387755102,0.10104250200481155,0.15849056603773584,0.5414091470951793,0.5270758122743683,0.5341463414634147
11,1.559358951008946,1.658922696053799,0.40154784938234855,0.37628865979381443,0.24403914516145203,157.74421000480652,0.2375,0.019832985386221295,0.036608863198458574,0.02012072434607646,0.09009009009009009,0.03289473684210526,0.27692307692307694,0.017578125,0.03305785123966942,0.39638242894056847,0.8647125140924464,0.5435861091424522,0.3530510585305106,0.45985401459854014,0.3994364212750969,0.3888888888888889,0.056134723336006415,0.09810791871058164,0.5488636363636363,0.5812274368231047,0.5645821157218002
