epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,epoch_time_sec,angry_precision,angry_recall,angry_f1-score,disgust_precision,disgust_recall,disgust_f1-score,fear_precision,fear_recall,fear_f1-score,happy_precision,happy_recall,happy_f1-score,neutral_precision,neutral_recall,neutral_f1-score,sad_precision,sad_recall,sad_f1-score,surprise_precision,surprise_recall,surprise_f1-score
1,1.68974115563248,1.7886971076506697,0.3344247655901176,0.3110894399554193,0.2328439040426378,146.63613200187683,0.30701754385964913,0.07306889352818371,0.11804384485666104,0.01574074074074074,0.15315315315315314,0.028547439126784216,0.2564102564102564,0.029296875,0.05258545135845749,0.535593220338983,0.5343855693348365,0.5349887133182845,0.29375,0.15247364152473641,0.200747463961559,0.31315240083507306,0.24057738572574178,0.272108843537415,0.2851153039832285,0.8182912154031288,0.4228855721393035
2,1.4255257814195579,1.6237346844176257,0.4565262687899985,0.40094733909166896,0.32724500278285573,151.14100813865662,0.3321917808219178,0.20250521920668058,0.251621271076524,0.022998296422487224,0.24324324324324326,0.04202334630350195,0.26174496644295303,0.0380859375,0.06649616368286446,0.669109357384442,0.669109357384442,0.669109357384442,0.38067712634186623,0.37388483373884834,0.3772504091653028,0.36983240223463687,0.2654370489174018,0.30905695611577966,0.4593817397555715,0.7689530685920578,0.5751575157515751
3,1.308218637515541,1.9669203370286417,0.5035570769459741,0.34257453329618276,0.2974264563973015,153.03079915046692,0.31537450722733246,0.25052192066805845,0.2792321116928447,0.023820026466696075,0.4864864864864865,0.045416316232127836,0.24369747899159663,0.056640625,0.0919175911251981,0.692358803986711,0.5873731679819617,0.6355596218359256,0.5764075067024129,0.17437145174371452,0.26774595267745954,0.3990719257540603,0.13793103448275862,0.20500595947556616,0.4229569557080474,0.8158844765342961,0.5571076417419885
4,1.2346528370903085,1.9504234230088204,0.5344545319243935,0.37210922262468654,0.3003958432729762,151.47766590118408,0.3434343434343434,0.21294363256784968,0.26288659793814434,0.03838383838383838,0.6846846846846847,0.07269249163079866,0.23076923076923078,0.0087890625,0.016933207902163686,0.6714697406340058,0.6567080045095829,0.6640068395554289,0.4477124183006536,0.3333333333333333,0.3821478382147838,0.48484848484848486,0.08981555733761026,0.15155615696887687,0.412849494348602,0.8351383874849578,0.552547770700637
5,1.194163235821066,3.642681142901205,0.5528798928411967,0.17010309278350516,0.1820165173049831,150.90050101280212,0.37755102040816324,0.038622129436325675,0.07007575757575757,0.019197207678883072,0.8918918918918919,0.03758542141230068,0.3523809523809524,0.0361328125,0.06554472984942426,0.9556313993174061,0.15783540022547915,0.2709240445089502,0.5067264573991032,0.09164639091646391,0.15521978021978022,0.3951612903225806,0.03929430633520449,0.07148067104303428,0.5144312393887945,0.7292418772563177,0.6032852165256346
6,1.149014849151098,1.7230323700311623,0.5655901175770204,0.4065199219838395,0.3396900803602643,150.59759902954102,0.5072046109510087,0.1837160751565762,0.2697318007662835,0.049606299212598425,0.5675675675675675,0.09123823316437364,0.2560240963855422,0.0830078125,0.12536873156342182,0.7873910127431254,0.6617812852311161,0.7191424196018377,0.5413105413105413,0.308191403081914,0.39276485788113696,0.416,0.25020048115477145,0.31246870305458185,0.3184601924759405,0.8760529482551144,0.46711581649021494
7,1.1191078294120138,1.9783312549088519,0.5761571662449769,0.3499582056283087,0.3259477507426463,157.31149411201477,0.44490644490644493,0.22338204592901878,0.2974287699791522,0.03311529026982829,0.7297297297297297,0.06335549472037544,0.3051181102362205,0.1513671875,0.20234986945169714,0.8600583090379009,0.49887260428410374,0.6314662861220122,0.5637707948243993,0.24736415247364152,0.3438556933483653,0.4409448818897638,0.1347233360064154,0.20638820638820637,0.39285714285714285,0.8471720818291215,0.5367899351887152
8,1.0976364189784678,2.1722572149133312,0.5823485637743712,0.3499582056283087,0.3114808070034181,160.5015208721161,0.4669421487603306,0.11795407098121086,0.18833333333333332,0.03166666666666667,0.8558558558558559,0.061073609771777566,0.3108108108108108,0.0673828125,0.11075441412520064,0.7655325443786982,0.5834272829763247,0.6621880998080614,0.5040322580645161,0.40551500405515006,0.449438202247191,0.5,0.05292702485966319,0.09572153734590283,0.5121163166397416,0.762936221419976,0.6128564523924601
9,1.076758036231654,2.7301586356432317,0.5955350498586099,0.24881582613541375,0.2430253227471262,163.26916980743408,0.46703296703296704,0.08872651356993737,0.14912280701754385,0.027012850773669026,0.9279279279279279,0.052497451580020386,0.4024390243902439,0.0322265625,0.059674502712477394,0.9272727272727272,0.22998872604284104,0.3685636856368564,0.6078838174273858,0.23763179237631793,0.34169096209912536,0.4266304347826087,0.12590216519647154,0.19442724458204336,0.39039204859193816,0.8507821901323707,0.5352006056018168
10,1.0650233860455165,2.1143682836473205,0.5973507962494419,0.3778211200891613,0.2999276863419905,160.67789816856384,0.49171270718232046,0.18580375782881003,0.2696969696969697,0.04300047778308648,0.8108108108108109,0.08166969147005444,0.37349397590361444,0.0302734375,0.05600722673893405,0.6663223140495868,0.7271702367531003,0.6954177897574124,0.5863309352517986,0.2643957826439578,0.36444941307993295,0.47368421052631576,0.07217321571772253,0.12526096033402923,0.36108273748723185,0.8507821901323707,0.506991753316601
11,1.0466728189868362,1.9436556415268558,0.6030659324304212,0.39997213708553914,0.3504351348181321,161.4743812084198,0.4528301886792453,0.20041753653444677,0.2778581765557164,0.03897216274089936,0.8198198198198198,0.07440719542109567,0.4444444444444444,0.05078125,0.09114811568799298,0.7993150684931507,0.6578354002254791,0.7217068645640075,0.5674019607843137,0.37550689375506896,0.45192776964372866,0.4048964218455744,0.1724137931034483,0.24184476940382452,0.46220735785953176,0.8315282791817088,0.5941530524505589
